riviere,distance,geometry,riviere_proche,distance_rhone
L'Ain,0.0,POINT (869105.8929899975 6523853.842978292),Le Rhône,367.0
L'Ardèche,0.0,POINT (831594.9880165437 6352954.475125019),Le Rhône,132.0
L'Eygues,0.0,POINT (839038.471379873 6333678.2707264135),Le Rhône,108.0
L'Eyrieux,0.0,POINT (842388.6552193717 6413528.193018362),Le Rhône,199.0
L'Isère,0.0,POINT (846042.0940841922 6433112.77827343),Le Rhône,223.0
L'Ouvèze,0.0,POINT (838856.3953148503 6407501.258849807),Le Rhône,192.0
La Cèze,0.0,POINT (836964.6778018235 6335519.839766633),Le Rhône,110.0
La Drôme,0.0,POINT (839188.0617009761 6409556.56998794),Le Rhône,194.0
La Durance,0.0,POINT (839539.4337562625 6315272.712177797),Le Rhône,82.0
La Saône,0.0,POINT (841425.8902162173 6515914.598375307),Le Rhône,332.0
Le Gardon,0.0,POINT (830554.860506664 6305817.985509185),Le Rhône,67.0
Le Rhône,0.0,POINT (848725.8399334975 6253124.717794795),La Durance,41.0
